"variant","age","ylo","yhi","cancer_type"
"U2AF1_S34F",79.2608695652174,71023638499423.7,121105044110756,"AML"
"U2AF1_S34F",79.4849498327759,71115818131302.2,121513010593008,"AML"
"U2AF1_S34F",79.7090301003344,71210956998664.2,121867216321036,"AML"
"U2AF1_S34F",79.933110367893,71255976723781.6,122218612353115,"AML"
"U2AF1_S34F",80.1571906354515,71307201941128.6,122553899022928,"AML"
"U2AF1_S34F",80.38127090301,71369135113044.2,122887276881765,"AML"
"U2AF1_S34F",80.6053511705686,71431487110884.1,123237784262705,"AML"
"U2AF1_S34F",80.8294314381271,71512320094349.2,123555399977195,"AML"
"U2AF1_S34F",81.0535117056856,71581459154350.5,123875915535995,"AML"
"U2AF1_S34F",81.2775919732441,71650392262357.2,124201617519254,"AML"
"U2AF1_S34F",81.5016722408027,71734961858806.8,124512238915649,"AML"
"U2AF1_S34F",81.7257525083612,71823580165908.2,124802637106097,"AML"
"U2AF1_S34F",81.9498327759197,71851708492123.2,125137259131000,"AML"
"U2AF1_S34F",82.1739130434783,71914750952911.8,125496427880965,"AML"
"U2AF1_S34F",82.3979933110368,71942787309382.9,125802282859913,"AML"
"U2AF1_S34F",82.6220735785953,72024586197248.9,126115254161166,"AML"
"U2AF1_S34F",82.8461538461538,72112259921364,126427409947322,"AML"
"U2AF1_S34F",83.0702341137124,72174425059165.1,126786436211142,"AML"
"U2AF1_S34F",83.2943143812709,72232207936472.8,127123207725767,"AML"
"U2AF1_S34F",83.5183946488294,72304764842367.1,127396983443224,"AML"
"U2AF1_S34F",83.7424749163879,72324905306623.7,127724208796239,"AML"
"U2AF1_S34F",83.9665551839465,72350134046005.9,128039246297897,"AML"
"U2AF1_S34F",84.190635451505,72409297690744.8,128306989448984,"AML"
"U2AF1_S34F",84.4147157190635,72471235132556.6,128598283008014,"AML"
"U2AF1_S34F",84.6387959866221,72514897927130.7,128905451461092,"AML"
"U2AF1_S34F",84.8628762541806,72577189285066.3,129179298835079,"AML"
"U2AF1_S34F",85.0869565217391,72619700441918.1,129450153577311,"AML"
"U2AF1_S34F",85.3110367892977,72635094912364.1,129739309539141,"AML"
"U2AF1_S34F",85.5351170568562,72719818171004.1,130029011514010,"AML"
"U2AF1_S34F",85.7591973244147,72765645138778.1,130320501080326,"AML"
"U2AF1_S34F",85.9832775919732,72783173024551.7,130610376006062,"AML"
"U2AF1_S34F",86.2073578595318,72809979930491.8,130876477371120,"AML"
"U2AF1_S34F",86.4314381270903,72897080785384.8,131157558537914,"AML"
"U2AF1_S34F",86.6555183946488,72921339931303.7,131409709761752,"AML"
"U2AF1_S34F",86.8795986622074,72967513677597,131615085299681,"AML"
"U2AF1_S34F",87.1036789297659,73018955164029.2,131805881640657,"AML"
"U2AF1_S34F",87.3277591973244,73093294096299.3,132022012269382,"AML"
"U2AF1_S34F",87.5518394648829,73150213710208.5,132294369583719,"AML"
"U2AF1_S34F",87.7759197324415,73181333444152.4,132536366646980,"AML"
"U2AF1_S34F",88,73234249242224.3,132854654878894,"AML"
"U2AF1_Q157P",46.5270362765229,4590103462629.76,23309800500387.3,"AML"
"U2AF1_Q157P",46.6749900993272,4660531434342.25,23471939983482.1,"AML"
"U2AF1_Q157P",46.8229439221315,4732039830827.47,23626604242857.3,"AML"
"U2AF1_Q157P",46.9708977449357,4804645221073.66,23776507235306.2,"AML"
"U2AF1_Q157P",47.11885156774,4878364427990.37,23929012186290.1,"AML"
"U2AF1_Q157P",47.2668053905443,4953214532294.4,24084174367089.8,"AML"
"U2AF1_Q157P",47.4147592133486,5028126649982.82,24248923000531.5,"AML"
"U2AF1_Q157P",47.5627130361529,5102848141880.54,24439842077974.8,"AML"
"U2AF1_Q157P",47.7106668589572,5181149645978.81,24627104993226.7,"AML"
"U2AF1_Q157P",47.8586206817614,5260652475939.79,24796930003549.3,"AML"
"U2AF1_Q157P",48.0065745045657,5337657584976.06,24948048436354.2,"AML"
"U2AF1_Q157P",48.15452832737,5415688069749.11,25145048485094.6,"AML"
"U2AF1_Q157P",48.3024821501743,5495123241314.94,25330213718747.8,"AML"
"U2AF1_Q157P",48.4504359729786,5578131611275.66,25510261366726.8,"AML"
"U2AF1_Q157P",48.5983897957829,5665474005030.97,25696345009645.4,"AML"
"U2AF1_Q157P",48.7463436185871,5758406870414.59,25884177280499.6,"AML"
"U2AF1_Q157P",48.8942974413914,5846629901040.35,26075827441463.7,"AML"
"U2AF1_Q157P",49.0422512641957,5935115858761.64,26272811950150.3,"AML"
"U2AF1_Q157P",49.190205087,6022614648278.09,26440623343557.2,"AML"
"U2AF1_Q157P",49.3381589098043,6113026259700.3,26656485076933.2,"AML"
"U2AF1_Q157P",49.4861127326086,6207255294376.6,26872486357161,"AML"
"U2AF1_Q157P",49.6340665554128,6299005949969.03,27092696696284.3,"AML"
"U2AF1_Q157P",49.7820203782171,6396480063464.05,27314636308089.9,"AML"
"U2AF1_Q157P",49.9299742010214,6492858231462.85,27538254491449.6,"AML"
"U2AF1_Q157P",50.0779280238257,6591162655257.12,27760598218405,"AML"
"U2AF1_Q157P",50.22588184663,6691188555059.62,27983595873967.2,"AML"
"U2AF1_Q157P",50.3738356694342,6785056267135.43,28178894532470.1,"AML"
"U2AF1_Q157P",50.5217894922385,6878680513064.86,28346779710548.6,"AML"
"U2AF1_Q157P",50.6697433150428,6974358968381.85,28557631412290.3,"AML"
"U2AF1_Q157P",50.8176971378471,7085944639434.37,28786180444225.2,"AML"
"U2AF1_Q157P",50.9656509606514,7207724648028.36,29026180341793.9,"AML"
"U2AF1_Q157P",51.1136047834557,7323770694042.94,29244728816470,"AML"
"U2AF1_Q157P",51.2615586062599,7438056424037.78,29455031874003.2,"AML"
"U2AF1_Q157P",51.4095124290642,7555320218082.15,29666820987575.9,"AML"
"U2AF1_Q157P",51.5574662518685,7665297237936.65,29903604649391.2,"AML"
"U2AF1_Q157P",51.7054200746728,7781029074039.96,30135970608086,"AML"
"U2AF1_Q157P",51.8533738974771,7908900971196,30393201587426.1,"AML"
"U2AF1_Q157P",52.0013277202814,8033679571518.46,30636547556926.7,"AML"
"U2AF1_Q157P",52.1492815430856,8157776213374.02,30844722743058,"AML"
"U2AF1_Q157P",52.2972353658899,8284670927123.97,31089741006268.2,"AML"
"U2AF1_Q157P",52.4451891886942,8412188689482.98,31318376028476.1,"AML"
"U2AF1_Q157P",52.5931430114985,8541267862002.12,31563082623499.5,"AML"
"U2AF1_Q157P",52.7410968343028,8663526633233.36,31786968210074.8,"AML"
"U2AF1_Q157P",52.889050657107,8809677355198.46,32014698105735.4,"AML"
"U2AF1_Q157P",53.0370044799113,8968475798482.62,32249667004471.9,"AML"
"U2AF1_Q157P",53.1849583027156,9106215989422.6,32511443915438.2,"AML"
"U2AF1_Q157P",53.3329121255199,9236767064629.48,32789338586099.9,"AML"
"U2AF1_Q157P",53.4808659483242,9364522370868.88,33093315853969.9,"AML"
"U2AF1_Q157P",53.6288197711285,9508394238042.48,33336378818161.4,"AML"
"U2AF1_Q157P",53.7767735939327,9635389673413.33,33642246778291.2,"AML"
"U2AF1_Q157P",53.924727416737,9769840173183.59,33941530721184.5,"AML"
"U2AF1_Q157P",54.0726812395413,9920651512277.3,34175384743318.2,"AML"
"U2AF1_Q157P",54.2206350623456,10072651946280.9,34488351208738.6,"AML"
"U2AF1_Q157P",54.3685888851499,10236374003481.9,34787479996586.8,"AML"
